Timestamp,Тип студијског програма:,Смер:,Дужина студирања на тренутном програму:,Просечна оцена током студирања:,Колико често присуствујете предавањима? ,Лоша припрема професора ,Читање са слајдова без додатног објашњавања ,Превише стручних термина,Монотон начин предавања ,Недостатак интеракције са студентима ,"Недостатак визуелних помагала (презентације, табеле, ...) ","Недостатак техничке подршке (пројектори, табле, ...) ",Недостатак примера ,"Лоша организација времена (предавањe je пребрзo, преспорo, ...)","Поред наведених проблема, по Вашем мишљењу, који још проблеми могу утицати да предавања буду лоша, а који нису поменути?",Сматрам да је предавање лоше ако не укључује практичне примере.,Сматрам да је предавање лоше уколико није прилагођено реалним потребама у пракси.,Сматрам да је предавање лоше уколико се одржава у простору који је неадекватан.,Сматрам да је предавање лоше ако професор нема способност да задржи концентрацију студената током предавања.,Сматрам да је предавање лоше уколико се студенти осећају нелагодно да поставе питање.,Сматрам да је предавање лоше уколико је незанимљиво и не мотивише студента да им редовно присуствује.,Како Ви дефинишете лоше предавање?,Да ли сте присуствовали неком предавању на Математичком факултету које бисте оценили као лоше?,"Ако је у претходном питању одговор „Да”, шта је највише допринело томе?",Да ли сматрате да професори на Математичком факултету довољно раде на унапређењу квалитета предавања?,Којим предавањима сте били најмање задовољни и зашто?
11/17/2024 12:28:49,Мастер студије,Информатика,1 година,не желим да се изјасним,Ретко присуствујем (мање од 50%),5,5,5,5,5,3,4,4,4,,4,4,3,3,4,4,,Да,,Не,Miticem
11/17/2024 12:29:44,Мастер студије,Информатика,1 година,8.01 - 9.00,Уопште не присуствујем,3,5,3,4,4,4,5,5,5,Nemam odgovor,5,4,4,2,3,2,Samo citanje sa slajdova,Да,Staticnost,Нисам сигуран/а,Baze podataka
11/17/2024 12:30:29,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),3,5,4,4,3,4,2,3,3,Ne uzimanje u obzir predznanje studenata,3,4,2,4,4,4,"Predavanje kod profesora Miroslava Marica (u ovom slucaju online, pusti videe vec snimljenje i tek na kraju odgovara na sva pitanja)",Да,Nisam se osecao kao da sam ista korisno naucio nakon sto se predavanje zavrsilo,Нисам сигуран/а,Pomenuta oredavanja kod MM iz OSa
11/17/2024 12:30:56,Мастер студије,Информатика,1 година,не желим да се изјасним,Често присуствујем (50-75%),5,5,4,5,5,4,5,5,4,,5,5,5,5,5,5,,Да,Monotono predavanje,Нисам сигуран/а,"Istrazivanje podataka, profesor se ne cuje dok prica, vecinon cita samo sa prezentacije…"
11/17/2024 12:35:28,Мастер студије,Информатика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),4,5,2,4,3,2,2,2,3,,1,1,2,3,3,4,,Да,"Monotonost predavanja, profesor samo cita sa slajdova i ne komunicira sa studentima. Osecaj gubljenja vremena.",Нисам сигуран/а,"Linearna algebra i analiticka geometrija. Profesor cita sa slajdova veoma monotono, bez ikakve interakcije sa studentima. Za isto vreme student moze da nauci vise samostalnim ucenjem."
11/17/2024 12:38:10,Основне студије,Информатика,4 године,7.01 - 8.00,Увек присуствујем (више од 75%),5,4,3,3,4,5,3,5,5,,5,4,1,4,5,3,losa interakcija profesor-student. ako profesor ne moze da zadrzi koncetraciju studenta tokom predavanja odredjene teme.,Да,"lakse savladavanje gradiva za ispit, i kasnije ucenje",Нисам сигуран/а,"istrazivanjem podataka 1, profesor ne ume da da zadovoljavajuci odgovor na postavljeno pitanje"
11/17/2024 12:39:03,Мастер студије,Информатика,1 година,8.01 - 9.00,Уопште не присуствујем,4,5,3,5,3,5,4,5,4,,5,5,3,4,4,2,Лоше предавање представља неадекватно практично и академско знање студенту везано за тему курса коју студент слуша.,Да,Професорова неспособност да пренесе знање - објасни значење и примену.,Не,"Проф. Ненад Митића због лошег преношења знања и лошег објашњавања значења појмова и њихових примена, али и због монотоности предавања и читања са презентације. "
11/17/2024 12:42:11,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),5,4,4,5,5,4,4,4,5,,4,4,4,5,5,4,,Да,"monotono predavanje, čitanje sa slajdova, nema interakcije sa studentima ",Да,IP1 iz razloga što je bilo veoma monotono i bez interakcije sa studentima 
11/17/2024 12:59:06,Мастер студије,Информатика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,4,5,5,5,5,5,5,,5,5,1,4,5,5,,Не,,Не,"Baze podataka, nisam profesora čuo šta priča"
11/17/2024 13:03:33,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),5,5,4,5,5,3,3,4,4,,4,4,4,5,4,5,Немотивисаност професора при уводу у нову тематику која се обрађује,Да,"Застарела литература, монотоност предавања",Не,"Истраживање података 1, Релационе базе података; лоша литература и одбијање мењање исте"
11/17/2024 13:16:28,Основне студије,Информатика,4 године,8.01 - 9.00,Често присуствујем (50-75%),5,5,5,5,5,3,3,4,3,,4,4,1,5,3,4,,Не,,Нисам сигуран/а,Svim predavanjima na kojima profesori samo čitaju sa slajdova 
11/17/2024 13:24:08,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Ретко присуствујем (мање од 50%),3,5,4,3,5,4,3,5,3,,3,3,3,3,3,3,,Да,,Да,uoar2
11/17/2024 13:24:49,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),5,5,2,5,1,3,5,5,3,,4,5,5,5,2,5,,Да,Mitić,Не,Ip - mitić
11/17/2024 13:54:32,Основне студије,Информатика,4 године,7.01 - 8.00,Често присуствујем (50-75%),5,5,2,4,4,3,3,4,4,,3,4,2,5,5,5,"ukratko, predavanje posle kog odlucim da mi se “ne isplati” da posecujem predavanja iz tog predmeta",Да,nezainteresovanost profesora i “mehanicko” predavanje,Нисам сигуран/а,"npr. DS1/LAAG predavanja u prvoj godini na kojima je profesorka mehanicki pisala dokaze sa skoro 0 interesovanja za shvatanje studenata (iz moje perspektive). takodje neke vezbe iz matematickih predmeta gde je bilo ocevidno da asistent/kinja nije spremio/la materijal unapred, pa smo “zabadali” na zadacima nepotrebno dugo… padaju mi na pamet i vezbe iz KIAA pre par godina, gde su se zadaci radili mehanickim iskucavanjem algoritma, bez mnogo razmisljanja"
11/17/2024 14:04:19,Мастер студије,Информатика,1 година,8.01 - 9.00,Увек присуствујем (више од 75%),4,5,2,4,5,3,3,4,5,Све је наведено,4,1,4,4,5,5,Неинтерактивно досадно  предавање је лоше предавање,Да,Неспремност професора,Нисам сигуран/а,"Увит, не само што је градиво досадно(то је ипак лична ствар) већ је и професор само читао са презентације са мало додатних коментара. Вежбе су биле уреду."
11/17/2024 14:08:17,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),5,5,3,5,5,2,1,4,3,,4,4,2,5,5,3,,Да,Profesor,Не,Operativni sistemi
11/17/2024 14:14:23,Мастер студије,Математика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),4,5,5,3,4,2,4,5,4,,5,3,2,3,5,3,,Да,,Нисам сигуран/а,Ne mogu da odgovorim
11/17/2024 14:24:15,Мастер студије,Информатика,2 године,9.01 - 10.00,Често присуствујем (50-75%),4,5,3,5,3,5,5,3,4,,3,2,4,5,4,5,,Да,Čitanje sa prezentacije bez interakcije sa studentima,Нисам сигуран/а,"UOAR2, nezanimljivo gradivo i nedostatak propratnih materijala, IP1 citanje sa prezentacija bez previse interakcije sa studentima"
11/17/2024 14:46:57,Основне студије,Информатика,више од 4 године,мања од 7.00,Уопште не присуствујем,2,3,5,5,3,3,2,4,5,Manjak talenta,4,1,2,5,5,5,"Pitanja ste dovoljno dobro postavili, nije potrebno dodefinisati išta",Да,Sve je najviše doprinelo tome,Не,"Generalno nezadovoljan
Predaje se, po mom mišljenju, tako što se objasni motivacija zašto se nešto predaje, krene se od suštine, kod aprstraktnijih delova daju se neki konkretniji primeri, i nakon što se objasni suština ide se u detalje.
Nije loše imati i živu interakciju umesto potpuno pasivnog pristupa gde studenti kao i da se ne nalaze fizički u sali.
Naravno svi smo različiti ovo je samo moje mišljenje, bilo bi zanimljivo videti šta drugi misle..."
11/17/2024 14:49:07,Основне студије,Информатика,више од 4 године,8.01 - 9.00,Често присуствујем (50-75%),5,5,5,5,5,2,2,5,5,,5,5,5,5,5,5,,Да,Nenad Mitić ,Не,Ip1 zato što Mitić 
11/17/2024 15:25:43,Мастер студије,Информатика,1 година,не желим да се изјасним,Често присуствујем (50-75%),5,5,3,5,5,5,5,5,5,,5,5,5,5,5,5,,Да,,Не,Ne mogu da odgovorim
11/17/2024 15:29:57,Мастер студије,Информатика,више од 4 године,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,2,5,5,3,2,3,2,,3,3,1,4,2,5,Predavanje u kom profesor samo cita informacije sa prezentacijd,Да,Los predavac,Не,"Relacione baze podataka, covek cita sa sladova"
11/17/2024 15:34:40,Мастер студије,Информатика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,2,4,4,3,3,4,4,Ako je mitic predavac,4,4,3,2,4,5,Previse price za malo stvari,Да,Predavac,Не,Onim koji me tera da obavezno odgovorim na pitanje sa njihove ankete
11/17/2024 15:37:36,Основне студије,Информатика,4 године,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,5,5,5,2,3,4,4,Nestrucnost i lose pedagoske vestine predavaca.,3,1,2,4,5,4,"Dosadno, profesor ne ukljucuje studente u diskusiju, nepristupacan je.",Да,Nestrucnost profesora i neodgovaranje na postavljena pitanja studenta.,Не,"Relacione baze podataka, losa dikcija, losa sposobnost za prenosenje znanja, puko citanje slajdova."
11/17/2024 15:41:55,Мастер студије,Математика,3 године,7.01 - 8.00,Уопште не присуствујем,5,4,2,4,5,3,2,5,3,,5,5,2,4,3,5,,Да,,Да,"Геометрја 3 и Оперативни системи
Монотона, присуство обавезно"
11/17/2024 15:55:24,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Ретко присуствујем (мање од 50%),3,5,2,5,5,5,5,5,5,Ako je predavanje samo nabacivanje informacija bez prikazane primene zašto nešto učimo ,5,5,3,5,3,5,"Predavanje bez medjusobne interakcije predavača i prisutnih, nedovoljno objašnjeno, neinteresantno, suvoparno...",Да,"Monotonost, nedostatak volje kako predavača, tako i studenata koji nisu podstaknuti da se aktiviraju i angažuju",Нисам сигуран/а,"Iskreno se ne sećam konkretnog primera, bilo ih je više, posebno na matematičkim predmetima"
11/17/2024 16:05:21,Мастер студије,Информатика,2 године,9.01 - 10.00,Уопште не присуствујем,4,5,5,4,5,5,5,5,5,,5,5,5,5,2,4,,Да,,Нисам сигуран/а,/
11/17/2024 16:17:41,Мастер студије,Информатика,1 година,9.01 - 10.00,Често присуствујем (50-75%),3,5,4,5,3,2,3,5,4,"Neki put je forsirana interakcija profesora sa studentom suvisna, ako studenti nisu zainteresovani da slusaju o temi koja se izlaze. Takodje, nametnuta obavezna predavanja umeju kod studenata da stvore averziju i da studetni po automatizmu budu nezainteresovani za temu koja se izlaze.",5,5,4,5,5,5,"Predavanje na kome profesor svojim entuzijazmom ne moze da me motivise da slusam materiju koju predaje, vec samo prelazi unapred pripremljene slajdove koje cu kasnije morati sama da iscitavam. Takodje, lose predavanje smatram ono na kome ne mozes cuti nista novo i interesantno od onoga sto se vidi na slajdovima.",Да,"Predavanje na kome profesor ima i tehnicku podrsku i vizuelna pomagala, ali i dalje gradivo koje prelazi kao da gradivo prica za sebe. Prolazi kroz primere koji nikome nisu jasni i ne osvrce se na to da li ga iko slusa.",Не,"Oop - previse primera koji se ne prelaze temeljno, vec se samo pokrecu da bi videli sta rade"
11/17/2024 17:13:04,Мастер студије,Информатика,1 година,9.01 - 10.00,Ретко присуствујем (мање од 50%),5,5,4,4,2,4,3,5,4,,3,1,1,1,3,1,Entuzijazam profesora nije na dobrom nivou.,Да,"Citanje sa prezentacija, previse skretanja sa teme",Не,IP1 - profesor cita sa prezentacija i baca neka svoja cudna objasnjenja.
11/17/2024 17:18:53,Мастер студије,Информатика,1 година,7.01 - 8.00,Често присуствујем (50-75%),5,5,5,4,4,3,2,3,4,,5,3,4,3,2,2,,Да,"Tiho izlaganje, gde je odgovor na moje pitanje da se nešto dodatno pojsani bilo da profesor samo ponovo pročita šta piše na slajdu",Нисам сигуран/а,"Relacione Baze Podataka, iz razloga navedenog gore
"
11/17/2024 20:12:23,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Ретко присуствујем (мање од 50%),4,4,4,5,4,3,4,4,2,,3,2,2,5,4,4,,Да,To sto je profesor bio Predrag Janicic. Njegovo mahanje rukama i ukljucivanje studenata u nastavu.,Нисам сигуран/а,Predavanja gde profesori samo čitaju slajdove.
11/17/2024 20:56:06,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),4,5,3,4,2,4,4,4,4,ako se zovete nenad mitic,4,3,2,4,4,4,ako ga drzi nenad mitic,Да,nenad mitic,Не,"svim koje je drzao nenad mitic, jer ih je drzao nenad mitic "
11/17/2024 22:09:56,Основне студије,Информатика,4 године,9.01 - 10.00,Увек присуствујем (више од 75%),4,5,4,5,4,3,3,5,4,,5,5,3,5,4,4,,Не,,Нисам сигуран/а,.
11/17/2024 22:13:37,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Увек присуствујем (више од 75%),5,4,3,4,5,2,5,5,4,,4,5,3,3,5,5,"Лоше предавање је оно на којем се мање фокусирам на предавача, а више на то да не заспим",Да,Монотоност предавања и моје лично неинтересовање за тему предавања,Не,Релационе Базе Података због монотоности професора и његовог тихог и неразумног говора
11/17/2024 23:32:30,Мастер студије,Информатика,1 година,8.01 - 9.00,Увек присуствујем (више од 75%),4,4,3,4,5,3,3,4,4,,4,4,3,5,5,5,,Да,"Konfuznost, nerazumljivost, monotonost",Нисам сигуран/а,"Predavanjima na kojima nisam uspeo da naučim ništa novo, tj. nisam uspeo da razumem ništa od onog što je bilo predavano - iz razloga što sam prisustvovanjem tim predavanjima samo gubio vreme"
11/18/2024 0:36:42,Основне студије,Астрономија и астрофизика,4 године,7.01 - 8.00,Често присуствујем (50-75%),5,5,4,5,4,5,5,4,5,Svi vazni su vec pomenuti.,4,5,4,5,5,4,"Predavanje koja  mi ne drzi paznju, koja su monotona i na dosadan nacin vodjena.",Не,Nisam prisustvovala.,Нисам сигуран/а,Nisam prisustvovala.
11/18/2024 11:46:01,Основне студије,Информатика,4 године,7.01 - 8.00,Уопште не присуствујем,5,5,4,4,4,4,2,4,4,,4,3,4,3,4,5,,Не,,Нисам сигуран/а,nz
11/18/2024 13:22:19,Мастер студије,Информатика,4 године,9.01 - 10.00,Често присуствујем (50-75%),4,5,3,5,5,4,3,4,4,,4,2,5,4,5,5,Citanje slajdova,Да,Citanje sa slajdova ,Не,Sva predavanja koja se svode na citanje prezentacija/skripte sa projektora
11/18/2024 14:56:09,Мастер студије,Информатика,1 година,9.01 - 10.00,Често присуствујем (50-75%),5,5,4,5,5,5,5,5,5,,4,3,4,4,5,5,"Dosadno, neprijatna atmosfera.",Да,Nerazgovetnost profesora koji objasnjava.,Да,"Operativni sistemi, predavac nije zainteresovan."
11/18/2024 15:14:28,Мастер студије,Информатика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),5,5,4,3,4,4,3,4,4,Nedostatak uvida u obim gradiva i tema koje ce biti obradjivane.,3,2,3,2,4,3,Lose predavanje je predavanje posle koga student nije naucio nesto novo ili je zbunjen gradivom.,Да,Nezainteresovanje profesora i citanje sa slajdova bez objasnjenja.,Нисам сигуран/а,"Relacione baze podataka, zato sto je profesor samo citao sa slajdova, a videlo se da fali razumevanje gradiva sa profesorove strane."
11/18/2024 15:22:36,Основне студије,Математика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),4,4,5,5,3,4,4,4,4,,3,3,3,4,5,5,,Да,,Нисам сигуран/а,Ne znam
11/18/2024 17:25:48,Мастер студије,Информатика,1 година,8.01 - 9.00,Често присуствујем (50-75%),3,4,2,3,4,2,2,5,5,"Prepuna ucionica, grupe nisu adekvatne",4,3,4,3,5,3,"Prebrzo, neadekvatan prostor, bez ikakve motivacije studenata",Да,Profesor monotono predaje po slajdovima,Нисам сигуран/а,"Relacione Baze Podataka, Nenad Mitic"
11/18/2024 17:27:04,Мастер студије,Информатика,1 година,8.01 - 9.00,Увек присуствујем (више од 75%),5,5,1,5,3,1,5,1,1,Redovni studenti,1,1,5,5,3,5,Ono koje se održava u SVN,Да,Prezentacije,Нисам сигуран/а,IP1
11/18/2024 17:49:30,Основне студије,Информатика,4 године,7.01 - 8.00,Уопште не присуствујем,3,5,3,4,3,3,4,3,4,Nedovoljno zalaganje profesora ,5,4,4,4,5,4,,Да,To što neki profesori samo čitaju sa slajdova,Нисам сигуран/а,"Laag kod profesora Rakića, samo je čitao sa slajdov"
11/18/2024 19:40:26,Основне студије,Информатика,4 године,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,5,5,5,5,5,5,5,Los termin predavanja,5,5,5,5,5,5,,Да,,Не,Ip
11/18/2024 20:32:09,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Ретко присуствујем (мање од 50%),5,5,3,5,4,5,1,5,5,"Ove silne ankete, dosadni ste bre vise",5,5,1,5,4,5,"Smara, i nista ne razumem. To je lose predavanje",Да,"Mmaric, Mitic i slicne persone",Не,"Os, IP1, DS2, Algebra. Vecinom zbog profesora"
11/18/2024 21:32:25,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Ретко присуствујем (мање од 50%),5,5,3,3,4,3,3,3,3,,4,3,3,3,4,3,,Да,,Нисам сигуран/а,analiza 1 
11/19/2024 9:13:25,Мастер студије,Информатика,више од 4 године,мања од 7.00,Ретко присуствујем (мање од 50%),5,5,5,5,5,4,4,5,5,,5,4,4,4,5,3,,Да,Nezainteresovanost profesora,Нисам сигуран/а,Nemam neko koje bih izdvojio
11/19/2024 11:44:36,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),5,5,4,5,5,4,3,4,3,"Previše primera, ukoliko su svi koncepti već jasni studentima",5,4,5,5,1,5,,Да,"Neentuzijastičnost predavača, nerazgovetnost",Нисам сигуран/а,"DS1, Racunaske mreze,  prethodno navedeni razlozi"
11/19/2024 14:57:47,Мастер студије,Информатика,1 година,8.01 - 9.00,Често присуствујем (50-75%),5,5,3,3,2,3,3,4,4,,5,4,2,5,5,5,Kada profesor ne ume da prenese znanje i kad samo prica ono sto i sama mogu da procitam kuci sa prezentacija,Да,profesor,Нисам сигуран/а,"laag - profesor cita sa slajdova veoma monotono i nista dodatno ne objasnjava, za isto vreme student moze da nauci vise samostalnim ucenjem"
11/19/2024 22:44:30,Мастер студије,Математика,1 година,7.01 - 8.00,Ретко присуствујем (мање од 50%),5,4,4,5,4,3,3,4,5,,4,4,3,4,4,4,,Да,"Profesor nije bio unapred pripremljen za predavanje, nije prilagodio nacin predavanja trenutnom znanju studenata..",Не,/